x,y,z
-20.6043,57.4512,2.423462
-21.8484,55.9614,4.673767
-23.5566,54.9825,3.839172
-22.8156,53.5941,1.932068
-21.9264,54.4365,-0.8291626
-21.1581,58.5237,-2.13562
-19.4928,62.8371,0.74646
-20.538,63.2583,1.705872
-21.8172,60.1851,0.3369751
-21.3882,57.9348,0.1575317
-21.5208,57.5136,0.9765625
-22.1682,57.0651,5.406921
-23.8842,55.7235,6.631531
-23.9271,53.9763,5.523926
-22.5816,52.662,1.725342
-22.2384,55.1814,-0.4625244
-21.7743,60.3957,-0.107666
-21.5637,63.114,0.4734497
-20.4405,63.1686,-1.663757
-20.3079,61.4058,-4.163635
-20.1948,60.2241,-2.315063
-20.7291,59.2374,1.425049
-22.3827,57.6189,4.303223
-23.4162,54.9123,4.018555
-23.0262,52.3851,2.392273
-22.2735,53.8788,-0.1700439
-21.8835,58.3872,0.4032593
-20.3859,62.7747,0.8478394
-19.0521,64.2762,0.09906006
-19.6371,62.0064,-0.6848755
-22.0863,58.161,0.7854614
-23.1822,55.1463,4.517761
-24.0675,52.4748,6.947449
-25.0152,51.1995,5.925659
-23.9544,52.4124,2.98114
-21.4623,57.1119,1.705872
-20.0427,61.6788,-0.08422852
-19.3173,64.5141,-1.285461
-19.1886,63.5664,-1.562378
-20.109,60.2046,0.9570313
-22.3983,56.0082,5.683838
-25.1595,52.5294,7.602661
-26.0604,50.0802,7.493469
-24.2664,50.6457,5.832031
-23.2836,54.2103,3.499878
-22.4763,59.8419,0.3174438
-20.7993,64.4244,-3.091125
-18.5607,66.6591,-4.436646
-19.5006,66.10139,-3.58252
-21.708,62.7981,-2.357971
-22.7883,58.7694,0.4734497
-22.5153,54.3819,5.67218
-24.4419,50.8758,7.551941
-25.725,49.4016,5.02478
-23.2446,52.7595,0.6879272
-20.1012,58.8357,-1.702759
-18.432,64.6194,-3.699524
-19.1106,66.8268,-5.224426
-19.1301,65.0601,-5.138672
-19.4967,61.7763,-2.845459
-22.0902,57.7125,0.7386475
-23.6736,54.6237,4.896057
-24.711,52.1823,7.15802
-23.9778,50.2986,5.250977
-23.1549,52.2447,1.76825
-20.6784,57.186,-0.1895752
-19.0716,62.0142,-0.3494263
-18.7557,64.0851,-0.7745361
-19.5474,62.9814,-0.0647583
-20.6433,58.9917,2.142639
-22.917,54.846,3.917175
-25.2024,52.896,5.005249
-24.7929,53.0364,5.130066
-22.6362,55.1346,4.513855
-21.6339,57.6501,2.988953
-21.4233,60.1929,0.6255493
-20.8617,62.4471,-2.022522
-19.7541,62.9502,-2.042053
-20.3547,62.0961,-0.107666
-22.1487,59.9784,2.329834
-22.7376,58.1493,3.40625
-22.1292,55.9575,5.325073
-22.332,54.5535,5.430359
-23.3382,53.5434,3.316528
-23.1354,55.0917,1.378235
-20.4834,58.0557,-0.0647583
-18.5958,61.1835,-2.315063
-19.212,63.5235,-4.834473
-19.1223,64.3152,-3.863342
-18.5607,62.3613,-0.7589722
-20.1831,58.8006,1.935974
-23.1042,55.2828,3.421875
-23.8023,52.5099,6.635437
-23.2875,49.7565,7.392029
-23.6541,50.2089,5.289978
-22.839,53.2587,0.9609375
-20.2377,58.5861,-1.109924
-17.0865,63.1842,-2.170776
-16.8135,65.82059,-3.091125
-19.8282,65.4696,-3.091125
-20.7291,62.022,-1.511658
-20.4561,57.4863,2.848572
-23.1978,53.9724,5.235352
-24.4575,52.0419,6.896729
-23.9232,51.3048,6.705627
-23.2524,53.0169,3.160522
-21.6027,57.2562,0.192627
-20.7174,62.4315,-1.831421
-19.602,65.43449,-1.445374
-19.875,65.0523,-1.901672
-21.708,61.32,-1.503845
-22.449,58.3482,1.834534
-23.6229,56.3514,4.68158
-24.7617,54.3975,6.108948
-24.9645,53.1261,5.048157
-23.1783,54.8304,1.998352
-21.4389,58.3092,-0.7199707
-20.4249,62.8527,-2.681641
-19.4694,65.5047,-3.001465
-18.198,65.8323,-2.40863
-19.6605,62.7084,-0.2363281
-22.8195,57.8958,2.727661
-24.3795,53.2821,3.316528
-24.2313,50.3103,5.559021
-22.9833,50.5716,7.13855
-23.0145,53.2626,5.157349
-21.7119,56.7765,-0.6536255
-19.0404,61.2303,-5.290771
-17.3907,64.9119,-7.006775
-17.7105,66.5733,-6.878052
-18.5412,65.19659,-4.955322
-19.1925,60.9612,-1.098267
-20.2182,55.6065,3.410156
-22.7181,50.9616,6.576965
-24.7266,48.8244,6.86554
-24.2118,49.2807,5.757935
-21.4662,53.3016,2.493652
-19.2861,58.9254,-1.698853
-18.939,63.309,-4.276733
-18.7791,65.04449,-4.569275
-18.9897,64.0227,-3.095032
-19.3329,60.4581,0.145874
-21.2439,56.6985,3.055237
-24.3288,52.8063,5.020874
-24.3132,51.0396,4.170654
-23.2602,51.8586,2.267456
-21.7743,55.1268,0.7191772
-20.0466,60.0915,-0.4625244
-18.8298,63.5469,-2.708923
-18.3813,63.2973,-4.869568
-18.3618,61.4097,-1.999146
-19.5006,58.3365,0.8517456
-22.1682,55.2321,3.67926
-23.2485,52.6152,6.530151
-22.3008,50.6925,6.705627
-22.7571,51.4998,4.65033
-23.4006,54.0699,1.998352
-22.5153,58.2624,-1.406372
-19.4655,61.7568,-3.543579
-17.847,64.5375,-5.056763
-19.6176,65.3331,-6.484131
-20.6979,63.7614,-4.081726
-20.3001,61.1016,-0.5210571
-21.4311,56.8155,1.538147
-24.0051,53.9022,3.250244
-24.828,52.1121,6.569153
-24.0129,51.1839,6.33905
-23.112,52.6932,4.572327
-21.0879,56.2188,0.999939
-21.0099,59.9316,-2.003052
-21.0255,62.0025,-2.354065
-19.8516,62.3379,-1.597473
-19.7619,61.4994,1.109131
-22.527,58.9566,4.096558
-24.2001,55.7625,5.648743
-24.2391,53.2119,6.576965
-24.7383,51.9132,4.775146
-23.8959,53.8086,3.987366
-22.0161,57.6423,2.68866
-21.4818,61.2069,-0.677063
-20.7798,62.6928,-4.323547
-19.3758,64.0266,-4.249451
-20.0466,63.2583,-1.91333
-21.9108,60.2865,0.6372681
-22.3749,56.7414,2.727661
-22.0707,54.495,4.342224
-23.8179,52.9194,4.521667
-24.8631,52.9116,2.634033
-23.9232,55.3179,0.6021729
-20.8149,58.3599,-0.2090454
-19.4265,60.6687,-1.928955
-20.6277,61.5813,-4.865662
-20.4288,61.047,-7.240723
-18.7167,60.7701,-5.513062
-19.1457,59.9667,-1.597473
-20.5848,58.5666,-0.1115723
-22.1643,55.6611,1.963257
-22.4607,54.0582,4.34613
-22.3866,52.5762,4.517761
-22.176,52.5489,3.417969
-21.8718,54.8382,1.366577
-20.1675,58.1181,0.2862549
-19.5942,60.0252,-0.5405273
-19.4733,61.242,-1.074829
-21.3765,60.54,-1.168457
-22.7376,58.8669,0.7932739
-22.9716,57.0144,4.194031
-23.502,56.1603,7.548035
-25.7835,52.935,5.785278
-25.3701,52.4436,3.156677
-23.073,55.2165,2.559937
-21.6768,58.5861,0.01715088
-21.8484,62.1195,-2.510071
-19.563,64.3815,-2.229248
-18.8064,63.2778,0.684021
-20.2104,59.3817,1.776062
-23.2056,54.8967,2.91095
-24.8085,51.2853,3.242432
-23.0652,50.5716,4.00293
-22.1487,54.4131,2.91095
-21.8289,59.1633,1.046753
-20.4405,61.2888,-1.156738
-19.4304,61.6671,-2.71283
-19.8126,59.9901,-1.546753
